Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",145.965500,-115.500000,90.000000,top
"C2","4.7uF","C_0603_1608Metric",141.600000,-129.300000,-90.000000,top
"C3","4.7uF","C_0603_1608Metric",139.900000,-123.500000,-90.000000,top
"C4","10uF","C_0603_1608Metric",125.125000,-111.700000,0.000000,top
"C5","0.1uF","C_0402_1005Metric",127.300000,-110.500000,0.000000,top
"C6","0.1uF","C_0402_1005Metric",135.800000,-124.500000,-90.000000,top
"C7","0.1uF","C_0402_1005Metric",127.900000,-124.900000,180.000000,top
"C8","1uF","C_0402_1005Metric",123.800000,-120.020000,90.000000,top
"C9","4.7uF","C_0402_1005Metric",139.600000,-114.200000,-90.000000,top
"C10","0.1uF","C_0402_1005Metric",138.500000,-114.200000,-90.000000,top
"C11","22pF","C_0402_1005Metric",122.400000,-113.900000,0.000000,top
"C12","22pF","C_0402_1005Metric",120.400000,-113.900000,180.000000,top
"C13","33pF","C_0402_1005Metric",118.700000,-117.400000,90.000000,top
"C14","33pF","C_0402_1005Metric",118.700000,-120.300000,-90.000000,top
"C15","0.1uF","C_0402_1005Metric",124.625000,-113.000000,180.000000,top
"C17","0.1uF","C_0402_1005Metric",130.360000,-107.980000,0.000000,top
"C18","0.1uF","C_0402_1005Metric",135.600000,-108.600000,0.000000,top
"C19","0.1uF","C_0402_1005Metric",135.200000,-104.600000,0.000000,top
"C20","0.1uF","C_0402_1005Metric",112.500000,-123.300000,180.000000,top
"C21","0.1uF","C_0402_1005Metric",124.500000,-136.800000,180.000000,top
"C22","10uF","C_0402_1005Metric",124.500000,-135.800000,180.000000,top
"C23","1uF","C_0402_1005Metric",124.500000,-134.800000,180.000000,top
"FB1","100uH","L_0603_1608Metric",122.425000,-121.600000,-90.000000,top
"IC2","BMA423","BMA423",134.800000,-106.600000,0.000000,top
"J2","USB_B_Micro","USB_Micro-B_Molex-105133-0001",143.090500,-115.400000,90.000000,top
"J5","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",130.760000,-105.700000,-90.000000,top
"R1","6k8R","R_0402_1005Metric",143.300000,-121.000000,-90.000000,top
"R2","2kR","R_0402_1005Metric",144.300000,-121.000000,-90.000000,top
"R3","10kR","R_0402_1005Metric",117.350000,-111.040000,0.000000,top
"R4","10kR","R_0402_1005Metric",123.300000,-108.000000,180.000000,top
"R5","10kR","R_0402_1005Metric",125.700000,-108.000000,0.000000,top
"R6","10kR","R_0402_1005Metric",111.500000,-124.300000,0.000000,top
"R8","10kR","R_0402_1005Metric",113.300000,-126.400000,180.000000,top
"R9","10kR","R_0402_1005Metric",117.200000,-126.400000,0.000000,top
"R10","10kR","R_0402_1005Metric",141.400000,-136.450000,0.000000,top
"R11","10kR","R_0402_1005Metric",140.200000,-109.900000,-90.000000,top
"R12","0R","R_0402_1005Metric",140.150000,-138.000000,90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",113.750000,-113.770000,180.000000,top
"SW3","SW_Push","SW_SPST_EVQP7A",143.113675,-107.631909,135.000000,top
"SW4","SW_Push","SW_SPST_EVQP7A",143.118091,-138.963675,45.000000,top
"SW5","SW_Push","SW_SPST_EVQP7A",112.600000,-119.900000,-90.000000,top
"TH1","10kR","R_0402_1005Metric",145.200000,-128.500000,-90.000000,top
"U1","L96-M33","XCVR_L96-M33",132.500000,-135.000000,0.000000,top
"U2","STM32L476RGTx","LQFP-64_10x10mm_P0.5mm",131.100000,-117.700000,0.000000,top
"U3","PES12-40S-N0024","PES1240SN0024",117.700000,-128.400000,180.000000,top
"U4","MCP73871","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",143.275000,-125.175000,90.000000,top
"Y2","ABS07-32.768KHZ-6-T","XTAL_ABS07-32.768KHZ-6-T",121.400000,-112.100000,180.000000,top
"Y3","ABM3-8.000MHZ-B4Y-T","XTAL_ABM3-8.000MHZ-B4Y-T",116.300000,-119.500000,-90.000000,top
