"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4","2","10uF","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C2,C3","2","4.7uF","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C5,C6,C7,C10,C15,C16,C17,C18,C19,C20,C21","11","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C8,C23","2","1uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C9","1","4.7uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C11,C12","2","22pF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C13,C14","2","33pF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C22","1","10uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"FB1","1","100uH","","","","Inductor_SMD:L_0603_1608Metric","~"
"H3,H4","2","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2","~"
"IC2","1","BMA423","","","","Library:BMA423","https://www.mouser.com/datasheet/2/783/BST-BMA423-DS000-1509600.pdf"
"J1","1","Battery","","","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~"
"J2","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Molex-105133-0001","~"
"J4","1","Micro_SD_Card_Det2","","","","Connector_Card:microSD_HC_Hirose_DM3BT-DSF-PEJS","https://www.hirose.com/en/product/document?clcode=&productname=&series=DM3&documenttype=Catalog&lang=en&documentid=D49662_en"
"J5","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"R1","1","6k8R","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2","1","2kR","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3,R4,R5,R6,R8,R9,R10,R11,TH1","9","10kR","","","","Resistor_SMD:R_0402_1005Metric","~"
"R12","1","0R","","","","Resistor_SMD:R_0402_1005Metric","~"
"SW1","1","SW_SPDT","","","","Button_Switch_SMD:SW_SPDT_PCM12","~"
"SW3,SW4,SW5","3","SW_Push","","","","Button_Switch_SMD:SW_SPST_EVQP7A","~"
"U1","1","L96-M33","","","","Library:XCVR_L96-M33",""
"U2","1","STM32L476RGTx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32l476rg.pdf"
"U3","1","PES12-40S-N0024","","","","Library:PES1240SN0024","https://www.bourns.com/docs/Product-Datasheets/PES12.pdf"
"U4","1","MCP73871","","","","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.mouser.com/ds/2/268/22090a-52174.pdf"
"Y2","1","ABS07-32.768KHZ-6-T","","","","Library:XTAL_ABS07-32.768KHZ-6-T",""
"Y3","1","ABM3-8.000MHZ-B4Y-T","","","","Library:XTAL_ABM3-8.000MHZ-B4Y-T",""
