Designator,Mid X,Mid Y,Layer,Rotation
J2,166.675,-99.875,bottom,180
C1,155.425,-105.95,top,-90
C2,143.95,-106.225,top,-90
C3,147.275,-102.75,top,0
C4,154.025,-114.3,top,0
C5,154.575,-113.025,top,0
C6,143.425,-111.73,top,0
C7,143.425,-110.73,top,0
C8,140.45,-112.35,top,90
C9,169.4875,-98.2375,top,0
C10,162.925,-96.975,top,90
C11,150.675,-95.725,top,90
C12,149.325,-96.025,top,90
C13,142.27,-103.145,top,180
C14,142.82,-104.445,top,180
C15,147.15,-116.6,top,0
C16,160.9,-120.75,top,-90
C17,154.1,-97.3,top,0
C18,143.0375,-117.025,top,-90
C19,140,-105.07,top,90
C20,136.8,-116.1,top,180
C21,145.075,-123.45,top,180
C22,145.075,-122.425,top,180
C23,145.05,-121.425,top,180
C24,139.975,-107.925,top,-90
FB1,141.725,-111.75,top,-90
J1,171.725,-107.15,top,90
J4,168.0625,-119.475,top,-90
J5,151.515,-99.7,top,90
R1,168.1,-100.725,top,-90
R2,169.175,-100.725,top,-90
R3,165.1625,-94.6375,top,180
R4,168.5125,-96.3975,top,-90
R5,166.825,-102.985,top,-90
R6,165.325,-104.485,top,0
R7,163.075,-101.27,top,90
R8,155.675,-102.15,top,0
R9,159.275,-102.1,top,180
R10,137.7,-123.575,top,0
R11,143.025,-123.6,top,0
R12,140.475,-99.375,top,-90
R13,138.975,-115.775,top,90
R15,168.875,-93.325,top,0
R16,171,-127.925,top,0
R17,161.25,-106.475,top,90
SW1,140.425,-133.2,top,0
SW2,137.405,-98.1,top,-90
SW3,171.9,-95.8,top,135
SW4,172,-131,top,45
SW5,136.725,-112.775,top,-90
U1,149.725,-108.475,top,0
U2,144.8,-97.65,top,90
U3,165.8375,-96.925,top,0
U4,164.95,-102.61,top,90
U5,153.225,-126.15,top,0
U6,144.8625,-117.375,top,180
Y1,137.45,-106.5,top,-90
