"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
2;"SW4,SW3,SW5";"SW_SPST_EVQP7A";3;"SW_Push";;;
3;"SW2";"SW_SPDT_PCM12";1;"SW_SPDT";;;
4;"SW1";"EC05E1220401";1;"EC05E1220401";;;
5;"J2";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Battery";;;
6;"U6";"XDCR_BMA456";1;"BMA456";;;
7;"U4";"SOT-583-8";1;"TPS2116DRL";;;
8;"U5";"XCVR_L96-M33";1;"L96-M33";;;
9;"R16,R12,R5,R6,R3,R8,R13,R7,R9,R10,R15,R11";"R_0402_1005Metric";12;"10kR";;;
10;"U3";"SOT-23-5";1;"MCP73831-2-OT";;;
11;"R17";"R_0402_1005Metric";1;"1k5R";;;
12;"R2,R1";"R_0402_1005Metric";2;"220kR";;;
13;"R4";"R_0402_1005Metric";1;"5kR";;;
14;"U7";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AMS1117CS-3.3";;;
15;"J4";"microSD_HC_Molex_104031-0811";1;"Micro_SD_Card_Det2";;;
16;"C24,C19";"C_0402_1005Metric";2;"33pF";;;
17;"C22";"C_0402_1005Metric";1;"10uF";;;
18;"C20,C17,C21,C18,C14,C16,C15,C12,C4,C1,C2,C3";"C_0402_1005Metric";12;"0.1uF";;;
19;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
20;"C23,C8,C7";"C_0402_1005Metric";3;"1uF";;;
21;"C10,C9,C13";"C_0603_1608Metric";3;"4.7uF";;;
22;"C11";"C_0603_1608Metric";1;"100uF";;;
23;"C6";"C_0402_1005Metric";1;"0.01uF";;;
24;"J5";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
25;"Y1";"XTAL_ABM3-8.000MHZ-B4Y-T";1;"ABM3-8.000MHZ-B4Y-T";;;
26;"C5";"C_0603_1608Metric";1;"10uF";;;
27;"FB1";"L_0603_1608Metric";1;"FerriteBead";;;
