Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,145.9655,-115.5,90,top
C2,4.7uF,C_0603_1608Metric,141.6,-129.3,-90,top
C3,4.7uF,C_0603_1608Metric,139.9,-123.5,-90,top
C4,10uF,C_0603_1608Metric,125.125,-111.7,0,top
C5,0.1uF,C_0402_1005Metric,127.3,-110.5,0,top
C6,0.1uF,C_0402_1005Metric,135.8,-124.5,-90,top
C7,0.1uF,C_0402_1005Metric,127.9,-124.9,180,top
C8,1uF,C_0402_1005Metric,123.8,-120.02,90,top
C9,4.7uF,C_0402_1005Metric,139.6,-114.2,-90,top
C10,0.1uF,C_0402_1005Metric,138.5,-114.2,-90,top
C11,22pF,C_0402_1005Metric,122.4,-113.9,0,top
C12,22pF,C_0402_1005Metric,120.4,-113.9,180,top
C13,33pF,C_0402_1005Metric,118.7,-117.4,90,top
C14,33pF,C_0402_1005Metric,118.7,-120.3,-90,top
C15,0.1uF,C_0402_1005Metric,124.625,-113,180,top
C17,0.1uF,C_0402_1005Metric,130.36,-107.98,0,top
C18,0.1uF,C_0402_1005Metric,135.6,-108.6,0,top
C19,0.1uF,C_0402_1005Metric,135.2,-104.6,0,top
C20,0.1uF,C_0402_1005Metric,112.5,-123.3,180,top
C21,0.1uF,C_0402_1005Metric,124.5,-136.8,180,top
C22,10uF,C_0402_1005Metric,124.5,-135.8,180,top
C23,1uF,C_0402_1005Metric,124.5,-134.8,180,top
FB1,100uH,L_0603_1608Metric,122.425,-121.6,-90,top
IC2,BMA423,BMA423,134.8,-106.6,0,top
J2,USB_B_Micro,USB_Micro-B_Molex-105133-0001,143.0905,-115.4,90,top
J5,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,130.76,-105.7,-90,top
R1,6k8R,R_0402_1005Metric,143.3,-121,-90,top
R2,2kR,R_0402_1005Metric,144.3,-121,-90,top
R3,10kR,R_0402_1005Metric,117.35,-111.04,0,top
R4,10kR,R_0402_1005Metric,123.3,-108,180,top
R5,10kR,R_0402_1005Metric,125.7,-108,0,top
R6,10kR,R_0402_1005Metric,111.5,-124.3,0,top
R8,10kR,R_0402_1005Metric,113.3,-126.4,180,top
R9,10kR,R_0402_1005Metric,117.2,-126.4,0,top
R10,10kR,R_0402_1005Metric,141.4,-136.45,0,top
R11,10kR,R_0402_1005Metric,140.2,-109.9,-90,top
R12,0R,R_0402_1005Metric,140.15,-138,90,top
SW1,SW_SPDT,SW_SPDT_PCM12,113.75,-113.77,180,top
SW3,SW_Push,SW_SPST_EVQP7A,143.113675,-107.631909,135,top
SW4,SW_Push,SW_SPST_EVQP7A,143.118091,-138.963675,45,top
SW5,SW_Push,SW_SPST_EVQP7A,112.6,-119.9,-90,top
TH1,10kR,R_0402_1005Metric,145.2,-128.5,-90,top
U1,L96-M33,XCVR_L96-M33,132.5,-135,0,top
U2,STM32L476RGTx,LQFP-64_10x10mm_P0.5mm,131.1,-117.7,0,top
U3,PES12-40S-N0024,PES1240SN0024,117.7,-128.4,180,top
U4,MCP73871,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,143.275,-125.175,90,top
Y2,ABS07-32.768KHZ-6-T,XTAL_ABS07-32.768KHZ-6-T,121.4,-112.1,180,top
Y3,ABM3-8.000MHZ-B4Y-T,XTAL_ABM3-8.000MHZ-B4Y-T,116.3,-119.5,-90,top
C16,0.1uF,C_0402_1005Metric,128.5,-117.6,-90,bottom
J1,Battery,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,141.9,-121,180,bottom
J4,Micro_SD_Card_Det2,microSD_HC_Hirose_DM3BT-DSF-PEJS,118.2,-117.6,90,bottom
